SR. NO.,District,Taluka,Village Name
220,Osmanabad,Umrga,Thoralewadi
221,Osmanabad,Umrga,Turori
222,Osmanabad,Umrga,Aashta J
223,Osmanabad,Umrga,Karali
224,Osmanabad,Umrga,Dapka
225,Osmanabad,Umrga,Kunoli
226,Osmanabad,Umrga,Kadmapur
227,Osmanabad,Umrga,Dudhanal
228,Osmanabad,Umrga,Handral
229,Osmanabad,Umrga,Kolsur Gu.
230,Osmanabad,Umrga,Kolsur K.
231,Osmanabad,Umrga,Chinchkot
232,Osmanabad,Umrga,Hipprga Rava
233,Osmanabad,Umrga,Umraga
234,Osmanabad,Umrga,Gunjoti
235,Osmanabad,Umrga,Gunjotiwadi
236,Osmanabad,Umrga,Kader
237,Osmanabad,Umrga,Chincholi Ja
238,Osmanabad,Umrga,Ekondi
239,Osmanabad,Umrga,Ekondiwadi
240,Osmanabad,Umrga,Diggi
241,Osmanabad,Umrga,Bhikar Sangvi
242,Osmanabad,Umrga,Bedga
243,Osmanabad,Umrga,Parskheda
244,Osmanabad,Umrga,Kasgi
245,Osmanabad,Umrga,Kasgiwadi
246,Osmanabad,Umrga,Dagaddhonora
247,Osmanabad,Umrga,Manegopal
248,Osmanabad,Umrga,Aacharya Tanda
249,Osmanabad,Umrga,Ambarnagar
250,Osmanabad,Umrga,Puhulsingnagar
251,Osmanabad,Umrga,Ingoltanda
252,Osmanabad,Umrga,Naiknagar Mu.
253,Osmanabad,Umrga,Aalur
254,Osmanabad,Umrga,Naiknagar Su..
255,Osmanabad,Osmnabad,Sanza
256,Osmanabad,Osmnabad,Sakanewadi
257,Osmanabad,Osmnabad,Gaddevdari
258,Osmanabad,Osmnabad,Ghatangri
259,Osmanabad,Osmnabad,Sonegaon
260,Osmanabad,Osmnabad,Bhansgaon
261,Osmanabad,Osmnabad,Kodgaon
262,Osmanabad,Osmnabad,Ambejavalge
263,Osmanabad,Osmnabad,Junoni
264,Osmanabad,Osmnabad,Ambehol
265,Osmanabad,Osmnabad,Pohaner
266,Osmanabad,Osmnabad,Varvanti
267,Osmanabad,Osmnabad,Chilwadi
268,Osmanabad,Osmnabad,Lasona Ghugi
269,Osmanabad,Osmnabad,Ghugi
270,Osmanabad,Osmnabad,Kamegaon
271,Osmanabad,Osmnabad,Sangvi
272,Osmanabad,Osmnabad,Nitali
273,Osmanabad,Osmnabad,Kodgaon
